VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Electric Utility,2020 Census Tract,Vehicle Location Lat,Vehicle Location Lon
JTJHKCFZ9R,Spokane,Spokane,WA,99205.0,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,3.0,259339517,MODERN ELECTRIC WATER COMPANY,53063001100.0,47.67946,-117.4269
5YJ3E1EAXP,Columbia,Dayton,WA,99328.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16.0,237840529,PACIFICORP,53013960200.0,46.320425,-117.97709
5YJ3E1EA6L,Snohomish,Lynnwood,WA,98036.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,32.0,6157343,PUGET SOUND ENERGY INC,53061051930.0,47.819365,-122.31667
3FA6P0PU1F,Skagit,Bow,WA,98232.0,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,40.0,215604812,PUGET SOUND ENERGY INC,53057950803.0,48.5613885,-122.44063
5YJSA1H19F,Kitsap,Poulsbo,WA,98370.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,23.0,241749000,PUGET SOUND ENERGY INC,53035090202.0,47.737525,-122.6417
5YJSA1H27F,Thurston,Olympia,WA,98501.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,22.0,243239006,PUGET SOUND ENERGY INC,53067010700.0,47.043535,-122.8969
WBY1Z4C55F,Island,Coupeville,WA,98239.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,10.0,349879071,PUGET SOUND ENERGY INC,53029971100.0,48.2179983,-122.68807
1N4AZ1CP2J,Skagit,Mount Vernon,WA,98274.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,10.0,131921317,PUGET SOUND ENERGY INC,53057952700.0,48.4152,-122.32295
5YJ3E1EA8L,King,Seattle,WA,98178.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,37.0,103329838,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026001.0,47.494545,-122.23438
KNDCM3LD6N,King,Seattle,WA,98177.0,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,36.0,256256262,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400.0,47.77279,-122.38242
