#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
13.916	14.285	6.458	6.668	72.764	112.143	185.556	203.530
14.285	14.654	6.668	6.878	61.148	91.901	109.448	174.468
14.654	15.024	6.878	7.088	49.765	115.130	122.336	309.335
15.024	15.393	7.088	7.298	21.721	67.210	69.697	164.208
15.393	15.762	7.298	7.507	33.328	182.851	116.117	155.215
15.762	16.131	7.507	7.717	43.988	53.388	147.941	205.493
16.131	16.449	7.717	7.902	120.657	247.073	416.005	633.818
16.449	16.766	7.902	8.086	161.972	374.338	411.562	604.468
16.766	17.084	8.086	8.27	256.551	286.919	623.735	785.820
17.084	17.402	8.27	8.454	213.458	321.009	504.646	608.408
17.402	17.719	8.454	8.639	142.786	265.732	292.342	397.606
17.719	18.037	8.639	8.823	153.594	367.614	299.042	376.152
18.037	18.282	8.823	8.966	57.738	75.089	118.798	161.700
18.282	18.526	8.966	9.108	82.758	296.056	282.846	377.819
18.526	18.771	9.108	9.251	40.156	54.732	138.637	145.284
18.771	19.016	9.251	9.393	39.166	57.180	116.732	109.206
19.016	19.261	9.393	9.536	12.000	23.310	62.388	76.075
19.261	19.505	9.536	9.678	78.243	132.844	174.812	482.924
19.505	19.726	9.678	9.808	314.901	1378.547	832.328	2278.942
19.726	19.946	9.808	9.938	90.447	94.246	250.701	302.488
19.946	20.167	9.938	10.068	179.823	213.568	451.177	547.814
20.167	20.387	10.068	10.198	207.272	182.033	427.636	717.540
20.387	20.608	10.198	10.328	187.172	94.866	353.854	669.119
20.608	20.828	10.328	10.458	123.972	181.246	238.786	226.051
20.828	20.976	10.458	10.546	59.207	79.607	100.088	195.803
20.976	21.124	10.546	10.633	45.580	54.389	102.674	201.728
21.124	21.272	10.633	10.721	14.676	8.942	90.621	144.945
21.272	21.420	10.721	10.809	19.974	37.025	120.955	191.825
21.420	21.567	10.809	10.896	17.194	25.030	88.271	194.270
21.567	21.715	10.896	10.984	8.935	6.396	70.709	251.751
21.715	22.124	10.984	11.229	64.735	64.911	173.105	385.159
22.124	22.532	11.229	11.475	125.641	174.214	223.350	540.536
22.532	22.941	11.475	11.721	108.826	110.612	248.871	303.641
22.941	23.349	11.721	11.966	183.268	158.649	465.968	503.031
23.349	23.758	11.966	12.212	98.631	106.866	311.643	313.476
23.758	24.167	12.212	12.458	131.607	238.804	299.156	396.874
24.167	24.384	12.458	12.59	38.793	81.170	108.171	188.985
24.384	24.601	12.59	12.723	29.362	42.825	139.347	208.459
24.601	24.819	12.723	12.856	20.029	28.016	66.862	140.570
24.819	25.036	12.856	12.989	17.365	6.956	48.010	128.080
25.036	25.253	12.989	13.121	13.613	29.697	75.750	154.620
25.253	25.471	13.121	13.254	27.703	44.893	127.583	213.187
25.471	25.638	13.254	13.358	117.193	166.364	305.523	681.363
25.638	25.805	13.358	13.461	138.109	155.161	335.912	647.868
25.805	25.971	13.461	13.565	224.002	190.738	528.808	798.451
25.971	26.138	13.565	13.669	286.791	261.867	667.592	832.425
26.138	26.305	13.669	13.773	217.142	243.701	491.224	645.592
26.305	26.472	13.773	13.876	225.273	172.455	433.215	803.361
26.472	26.503	13.876	13.896	28.722	25.184	116.371	119.979
26.503	26.534	13.896	13.915	28.722	25.184	116.371	119.979
26.534	26.566	13.915	13.935	28.722	25.184	116.371	119.979
26.566	26.597	13.935	13.954	27.636	37.205	140.412	182.768
26.597	26.628	13.954	13.974	27.636	37.205	140.412	182.768
26.628	26.659	13.974	13.993	27.636	37.205	140.412	182.768
26.659	26.800	13.993	14.086	151.147	753.434	216.812	364.947
26.800	26.941	14.086	14.179	185.146	1090.655	291.593	479.896
26.941	27.082	14.179	14.271	167.780	513.673	250.950	576.015
27.082	27.222	14.271	14.364	144.996	452.194	250.727	799.041
27.222	27.363	14.364	14.456	216.056	841.905	404.251	1022.584
27.363	27.504	14.456	14.549	259.022	1508.413	587.686	1283.794
27.504	27.592	14.549	14.608	72.285	177.320	144.020	383.948
27.592	27.679	14.608	14.666	53.753	105.838	144.704	348.875
27.679	27.767	14.666	14.725	36.122	59.553	103.528	305.818
27.767	27.854	14.725	14.783	56.347	279.195	137.360	394.526
27.854	27.942	14.783	14.842	58.961	117.699	239.962	334.034
27.942	28.030	14.842	14.9	30.272	36.082	160.100	318.634
28.030	28.188	14.9	15.006	163.782	187.370	359.085	806.706
28.188	28.346	15.006	15.111	249.025	298.918	456.651	839.222
28.346	28.504	15.111	15.216	382.455	605.059	739.072	834.625
28.504	28.663	15.216	15.322	293.635	827.524	663.575	1005.389
28.663	28.821	15.322	15.427	324.345	2060.967	861.217	1498.119
28.821	28.979	15.427	15.533	335.641	2134.894	867.485	1791.741
28.979	29.073	15.533	15.593	38.691	77.824	160.715	220.411
29.073	29.167	15.593	15.653	66.410	75.288	194.294	313.042
29.167	29.261	15.653	15.713	22.775	53.681	108.386	201.913
29.261	29.355	15.713	15.773	49.972	65.257	184.546	292.916
29.355	29.449	15.773	15.833	28.427	37.609	120.851	280.923
29.449	29.542	15.833	15.893	51.554	25.914	141.480	362.607
29.542	29.848	15.893	16.09	170.191	216.724	349.749	738.274
29.848	30.154	16.09	16.287	194.600	181.064	417.773	574.746
