#Year Nh4[ppb] No3[ppb] So4[ppb]
1849 44.839775 146.0939 131.6887
1848 57.7220508771931 140.726260818714 152.604185380117
1847 56.0081872340425 157.768203191489 181.030775531915
1846 48.115156923077 134.963659230769 127.474846153846
1845 42.7370760869565 96.344025 95.1530032608695
1844 58.4826430555555 142.550245833333 120.661540277778
1843 44.3786761904762 112.783161904762 104.487904761905
1842 55.04945 121.2639 125.73995
1841 33.3500714285715 92.1109880952381 163.746589285714
1840 77.32526 155.74755 170.574225555556
1839 51.3763176923077 120.635628461538 99.0687853846155
1838 61.4039188888889 134.797341111111 168.88894
1837 49.047652238806 129.222697014925 242.937692537313
1836 77.0446499999999 144.9224 203.000675
1835 37.8642611111111 91.47147 84.4386211111111
1834 44.9568905882353 92.9093588235295 65.9917552941177
1833 52.2693421686747 111.84098433735 112.990450602409
1832 53.8721585365854 107.600624390244 76.3411536585366
1831 92.5562354838709 161.754803225806 144.155706451613
1830 80.8216476190476 201.349823809524 124.192266666667
1829 66.2548037037037 150.925837037037 98.0331592592592
1828 54.9966 103.981075 101.45205
1827 43.9163351851852 83.2062222222223 69.4104703703704
1826 40.89591 138.72724 169.6279
1825 35.47184 105.05268 76.1924999999999
1824 40.2239784482759 119.219756896552 131.207414655172
1823 33.6253970414201 114.309096449704 99.2535964497041
1822 54.9708771428572 160.846978095238 117.858881904762
1821 42.9400029411764 121.295208823529 120.961374509804
1820 49.0105462809918 135.189528099174 169.84895123967
1819 39.3430518518518 121.085696296296 90.8884567901236
1818 49.8447231481482 113.22967037037 100.327690740741
1817 71.82015 169.1632 122.419183333333
1816 69.2626 161.28882 119.14862
1815 58.5236790123457 165.030967901235 136.830802469136
1814 72.5818833333334 169.910333333333 173.78075
1813 62.1739552486188 138.439269060773 125.451249171271
1812 55.9339052083334 133.720042708333 120.219570833334
1811 52.1482121951219 120.893136585366 105.573147560976
1810 47.9799416666667 117.283444047619 97.5136309523809
1809 58.2045073529411 172.129516176471 154.033127941177
1808 59.8404754545455 165.975454545455 149.130593636364
1807 42.082627027027 118.5365 95.8795864864865
1806 51.8386868686868 132.335743434343 134.90662020202
1805 51.497503030303 123.327881818182 101.370606060606
1804 40.6470740740741 103.963860493827 145.601824691358
1803 47.2931305343511 124.222752671756 97.1782610687024
1802 54.0525666666667 116.205668627451 134.48612745098
1801 32.5541901098901 82.4899175824176 80.6932307692307
1800 36.0697945054944 83.4272142857143 81.6958857142857
1799 42.1161 128.407695918367 124.011575510204
1798 44.1349791946308 134.690909395973 113.743694630873
1797 41.8089365384615 126.467255769231 131.188999038461
1796 36.3420115384615 108.526173076923 101.167955128205
